,ddi,pfam,meff,pdb,dca_max,nb_contact
0,ddi_num_3192,PF02518_PF00512,13294.5777204679,"{'4zki', '3d36', '4biu', '4kp4', '4u7o', '5idj', '4cti', '4biv', '2c2a', '3dge', '4biz', '4gcz', '4bix', '4cb0', '4jau', '3a0r', '4biw', '5lfk', '5c93', '4jas', '4q20', '4u7n', '4jav', '4biy', '4i5s'}",0.756867841891091,831
2,ddi_num_3194,PF02518_PF00072,7124.28767973903,"{'3a0r', '3dge', '4jas'}",0.145875630154986,109
5,ddi_num_2257,PF00563_PF00990,5932.73478140647,"{'3pjx', '3pjw'}",0.413929617774612,244
6,ddi_num_5163,PF00072_PF00486,5688.51429002952,"{'5ed4', '4kny', '4s04', '2gwr', '4b09', '1ys6', '4kfc', '1ys7', '3q9s', '2oqr', '4s05'}",0.184891080136972,892
7,ddi_num_3044,PF13439_PF00534,5456.9135380831,"{'3okc', '3mbo', '3c48', '2jjm', '5d01', '2iw1', '4xyw', '3oka', '3c4q', '3c4v', '5d00', '3okp'}",0.76103706858673,531
8,ddi_num_3753,PF00356_PF13377,4741.2473147138,{'4rzs'},0.304956687439363,47
9,ddi_num_3333,PF00512_PF00072,4671.55330381568,"{'3a0r', '3dge', '4jav', '4jas'}",0.675735110411673,328
11,ddi_num_5791,PF04542_PF08281,3845.21485851782,"{'4cxf', '5wur', '5wuq'}",0.327083885909459,247
12,ddi_num_181,PF00664_PF00005,3807.40023162367,"{'4f4c', '4ksb', '2onj', '4mrn', '4ry2', '5l22', '4ksd', '4mrv', '3qf4', '5mkk', '4q9j', '5uak', '5ko2', '4q4j', '5u1d', '4lsg', '5wua', '3b60', '5kpd', '5koy', '4myc', '4m2t', '5c78', '4m2s', '5uar', '5eg1', '3g5u', '4q4h', '4mrr', '4mrs', '5nbd', '4s0f', '4pl0', '4a82', '5c76', '4q9h', '4myh', '4m1m', '3g60', '5kpi', '5c73', '4ksc', '4q9l', '5twv', '4xwk', '3g61', '4mrp', '4q4a', '2hyd'}",0.562950627969141,732
13,ddi_num_2936,PF00196_PF00072,3705.97733415559,"{'5f64', '4gvp', '1rnl', '1a04', '4ldz', '3c3w', '4hye'}",0.232767347995887,810
15,ddi_num_2591,PF07729_PF00392,3368.02534329517,"{'2hs5', '3ihu', '4p9f', '3sxy', '3fms'}",0.306973037439844,266
16,ddi_num_192,PF00005_PF08352,3176.43418185906,{'4fwi'},0.955588460026023,60
18,ddi_num_197,PF00005_PF08402,2962.20865673359,"{'2awo', '2awn', '4jbw'}",0.208733051976379,105
